,popularity_index,album_release_date,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
80,0,2/11/2022,Fran Vasilić,Maybe,Maybe,2tCPSsJ9VKbKW118FTRm89,0.759,0.469,1,-11.434,1,0.0512,0,0.137,0.369,129.979,178615,4
82,0,2/11/2022,"The Last Artful, Dodgr",Hullabaloo,Hullabaloo,1zew16SiipS0aoEnnfyXtx,0.849,0.554,3,-9.263,0,0.333,5.48E-06,0.131,0.75,83.962,102877,4
83,0,2/11/2022,Autumn!,Bentley Bentayga!,Bentley Bentayga!,34eGc2hu8Ye6AuRJWvq0ES,0.819,0.58,0,-9.487,1,0.474,0,0.0866,0.555,74.415,115927,4
84,0,2/11/2022,LIL DUSTY G,UNDERGROWTH,BELTANE,7wBzvJRjpL6wfj893ktZpr,0.636,0.676,3,-6.349,0,0.0289,6.42E-05,0.395,0.685,110.68,168073,4
85,0,2/11/2022,bennytheghost,Say Something,Say Something,6NduQjYR9ElRhgSOAqdoOV,0.714,0.565,4,-6.808,0,0.09,0.000539,0.155,0.517,92.007,147854,4
86,0,2/11/2022,half•alive,"Give Me Your Shoulders, Pt. 1",Move Me,0vrGg6n72wLwgv32jeewgi,0.637,0.606,3,-5.697,1,0.0533,0.0777,0.176,0.466,155.005,216533,1
87,0,2/11/2022,Joywave,Cleanse,We Are All We Need,6GITd9tdOOiBvT9sfqNHTu,0.631,0.74,7,-4.754,1,0.0242,0.000543,0.22,0.544,100.012,209667,4
90,0,2/11/2022,HoneyLuv,Your Tongue,Your Tongue,00WQxluVREF12JZkKWvio4,0.693,0.968,8,-5.782,1,0.0913,0.369,0.207,0.554,127.057,157428,4
91,0,2/11/2022,Pardison Fontaine,Hoop Earrings,Hoop Earrings,3fgxFMXzKlZWOKOek53ZdZ,0.635,0.589,10,-5.461,0,0.488,0,0.137,0.376,172.813,143999,4
92,0,2/11/2022,Junior H,Mi Vida En Un Cigarro 2,Como Jordan,2q7DY7bBua9e9Aygmz8XmB,0.714,0.873,6,-2.39,0,0.0311,0,0.191,0.628,112.503,225152,3
93,0,2/11/2022,Adriel Favela,Botecito A Pecho,Botecito A Pecho,1IqbC17XpPQ80i5gPAFnp1,0.743,0.577,7,-6.813,1,0.0358,0,0.116,0.763,134.634,176133,4
96,0,2/11/2022,Amos Lee,Dreamland,Hold You,1cXhJOnf6n1Ed7kbdFd4hq,0.39,0.292,11,-10.387,1,0.0309,7.48E-05,0.0824,0.17,150.089,282507,3
97,0,2/11/2022,Shy High,clam chowder,clam chowder,6vEIhmMgzQMDdUwPNWqzSG,0.795,0.546,4,-9.265,0,0.0599,0.0615,0.182,0.466,110.014,152727,4
98,0,2/11/2022,Julius Black,Together We Go Down In The Dark,Together We Go Down In The Dark,4NZwAKr8rYOa1lvFmvHacm,0.675,0.429,5,-10.497,1,0.0523,0.011,0.239,0.305,135.017,169222,3
